title,url,parent_key
Drug Interactions: Cytochrome P450 Drug Interaction Table,http://medicine.iupui.edu/clinpharm/ddis/table.asp,BE0002433
Drug Interactions: Cytochrome P450 Drug Interaction Table,http://medicine.iupui.edu/clinpharm/ddis/table.asp,BE0002433
Drug Interactions: Cytochrome P450 Drug Interaction Table,http://medicine.iupui.edu/clinpharm/ddis/table.asp,BE0002433
Drug Interactions: Cytochrome P450 Drug Interaction Table,http://medicine.iupui.edu/clinpharm/ddis/table.asp,BE0002433
Drug Interactions: Cytochrome P450 Drug Interaction Table,http://medicine.iupui.edu/clinpharm/ddis/table.asp,BE0003612
Drug Interactions: Cytochrome P450 Drug Interaction Table,http://medicine.iupui.edu/clinpharm/ddis/table.asp,BE0002362
Drug Interactions: Cytochrome P450 Drug Interaction Table,http://medicine.iupui.edu/clinpharm/ddis/table.asp,BE0002638
Cobalamin coenzyme forms are not likely to be superior to cyano- and hydroxyl-cobalamin in prevention or treatment of cobalamin deficiency,https://onlinelibrary.wiley.com/doi/pdf/10.1002/mnfr.201500019,BE0000777
Cobalamin coenzyme forms are not likely to be superior to cyano- and hydroxyl-cobalamin in prevention or treatment of cobalamin deficiency,https://onlinelibrary.wiley.com/doi/pdf/10.1002/mnfr.201500019,BE0000734
Drug Interactions: Cytochrome P450 Drug Interaction Table,http://medicine.iupui.edu/clinpharm/ddis/table.asp,BE0002363
Drug Interactions: Cytochrome P450 Drug Interaction Table,http://medicine.iupui.edu/clinpharm/ddis/table.asp,BE0002433
Drug Interactions: Cytochrome P450 Drug Interaction Table,http://medicine.iupui.edu/clinpharm/ddis/table.asp,BE0002638
Drug Interactions: Cytochrome P450 Drug Interaction Table,http://medicine.iupui.edu/clinpharm/ddis/table.asp,BE0002362
Drug Interactions: Cytochrome P450 Drug Interaction Table,http://medicine.iupui.edu/clinpharm/ddis/table.asp,BE0003612
Drug Interactions: Cytochrome P450 Drug Interaction Table,http://medicine.iupui.edu/clinpharm/ddis/table.asp,BE0002793
Drug Interactions: Cytochrome P450 Drug Interaction Table,http://medicine.iupui.edu/clinpharm/ddis/table.asp,BE0003536
Drug Interactions & Labeling - FDA,https://www.fda.gov/Drugs/DevelopmentApprovalProcess/DevelopmentResources/DrugInteractionsLabeling/ucm093664.htm#table3-2,BE0002887
Drug Interactions: Cytochrome P450 Drug Interaction Table,http://medicine.iupui.edu/clinpharm/ddis/table.asp,BE0002363
Drug Interactions: Cytochrome P450 Drug Interaction Table,http://medicine.iupui.edu/clinpharm/ddis/table.asp,BE0002363
Drug Interactions: Cytochrome P450 Drug Interaction Table,http://medicine.iupui.edu/clinpharm/ddis/table.asp,BE0002638
Drug Interactions & Labeling - FDA,https://www.fda.gov/Drugs/DevelopmentApprovalProcess/DevelopmentResources/DrugInteractionsLabeling/ucm093664.htm#table3-2,BE0002638
Drug Interactions: Cytochrome P450 Drug Interaction Table,http://medicine.iupui.edu/clinpharm/ddis/table.asp,BE0002793
Drug Interactions: Cytochrome P450 Drug Interaction Table,http://medicine.iupui.edu/clinpharm/ddis/table.asp,BE0002362
Drug Interactions: Cytochrome P450 Drug Interaction Table,http://medicine.iupui.edu/clinpharm/ddis/table.asp,BE0003612
Drug Interactions: Cytochrome P450 Drug Interaction Table,http://medicine.iupui.edu/clinpharm/ddis/table.asp,BE0002638
Drug Interactions: Cytochrome P450 Drug Interaction Table,http://medicine.iupui.edu/clinpharm/ddis/table.asp,BE0003612
Flockhart Table - Indiana University,http://medicine.iupui.edu/clinpharm/ddis/clinical-table/,BE0002362
Drug Interactions: Cytochrome P450 Drug Interaction Table,http://medicine.iupui.edu/clinpharm/ddis/table.asp,BE0002362
Drug Interactions: Cytochrome P450 Drug Interaction Table,http://medicine.iupui.edu/clinpharm/ddis/table.asp,BE0002433
Drug Interactions: Cytochrome P450 Drug Interaction Table,http://medicine.iupui.edu/clinpharm/ddis/table.asp,BE0003612
Drug Interactions: Cytochrome P450 Drug Interaction Table,http://medicine.iupui.edu/clinpharm/ddis/table.asp,BE0002638
Drug Interactions: Cytochrome P450 Drug Interaction Table,http://medicine.iupui.edu/clinpharm/ddis/table.asp,BE0002638
Drug Interactions: Cytochrome P450 Drug Interaction Table,http://medicine.iupui.edu/clinpharm/ddis/table.asp,BE0002362
Drug Interactions: Cytochrome P450 Drug Interaction Table,http://medicine.iupui.edu/clinpharm/ddis/table.asp,BE0003612
Drug Interactions: Cytochrome P450 Drug Interaction Table,http://medicine.iupui.edu/clinpharm/ddis/table.asp,BE0003536
Drug Interactions & Labeling - FDA,https://www.fda.gov/Drugs/DevelopmentApprovalProcess/DevelopmentResources/DrugInteractionsLabeling/ucm093664.htm#table3-2,BE0003536
Ticlopidine Hydrochloride - Drug Summary - PDR,http://www.pdr.net/drug-summary/Ticlopidine-Hydrochloride-ticlopidine-hydrochloride-3029,BE0003536
Drug Interactions: Cytochrome P450 Drug Interaction Table,http://medicine.iupui.edu/clinpharm/ddis/table.asp,BE0002363
Flockhart Table - Indiana University,http://medicine.iupui.edu/clinpharm/ddis/clinical-table/,BE0002433
